file_path,depth,file_name,file_ext,width,height,aspect_ratio,megapixels,orientation,class,species,phash,path_depth,species_fixed,species_fixed_final,species_norm,species_fixed_norm,augmented_width,augmented_height
Classes/conditionally_edible/Inonotus obliquus/28721medium.jpeg,3,28721medium,jpeg,375,500,0.75,0.1875,portrait,conditionally_edible,Inonotus obliquus,e8cac3a1b56362d3,4,Inonotus obliquus,inonotus_obliquus,inonotus_obliquus,inonotus_obliquus,256,256
Classes/conditionally_edible/Fomitopsis pinicola/23283medium.jpg,3,23283medium,jpg,375,500,0.75,0.1875,portrait,conditionally_edible,Fomitopsis pinicola,c8cbd56769a0652e,4,Fomitopsis pinicola,fomitopsis_pinicola,fomitopsis_pinicola,fomitopsis_pinicola,256,256
Classes/conditionally_edible/Inonotus obliquus/28529medium.jpeg,3,28529medium,jpeg,500,332,1.5060240963855422,0.166,landscape,conditionally_edible,Inonotus obliquus,c5649a9b62664b6d,4,Inonotus obliquus,inonotus_obliquus,inonotus_obliquus,inonotus_obliquus,256,256
Classes/conditionally_edible/Fomitopsis pinicola/22806medium.jpg,3,22806medium,jpg,500,375,1.3333333333333333,0.1875,landscape,conditionally_edible,Fomitopsis pinicola,f290b87e240799de,4,Fomitopsis pinicola,fomitopsis_pinicola,fomitopsis_pinicola,fomitopsis_pinicola,256,256
Classes/conditionally_edible/Parmelia sulcata/36171medium.jpg,3,36171medium,jpg,500,375,1.3333333333333333,0.1875,landscape,conditionally_edible,Parmelia sulcata,f0822f4d3f68cc6a,4,Parmelia sulcata,parmelia_sulcata,parmelia_sulcata,parmelia_sulcata,256,256
Classes/conditionally_edible/Physcia adscendens/23493medium.jpeg,3,23493medium,jpeg,237,500,0.474,0.1185,portrait,conditionally_edible,Physcia adscendens,d8167f00ff83661a,4,Physcia adscendens,physcia_adscendens,physcia_adscendens,physcia_adscendens,256,256
Classes/conditionally_edible/Artomyces pyxidatus/5653medium.jpeg,3,5653medium,jpeg,375,500,0.75,0.1875,portrait,conditionally_edible,Artomyces pyxidatus,d2b4777732af1006,4,Artomyces pyxidatus,artomyces_pyxidatus,artomyces_pyxidatus,artomyces_pyxidatus,256,256
Classes/conditionally_edible/Fomes fomentarius/16300medium.jpeg,3,16300medium,jpeg,374,500,0.748,0.187,portrait,conditionally_edible,Fomes fomentarius,d8bcb366cd0a3136,4,Fomes fomentarius,fomes_fomentarius,fomes_fomentarius,fomes_fomentarius,256,256
Classes/conditionally_edible/Fomitopsis betulina/17402medium.jpeg,3,17402medium,jpeg,500,423,1.1820330969267139,0.2115,landscape,conditionally_edible,Fomitopsis betulina,9db7b847033c3c83,4,Fomitopsis betulina,fomitopsis_betulina,fomitopsis_betulina,fomitopsis_betulina,256,256
Classes/conditionally_edible/Fomes fomentarius/14468medium.jpeg,3,14468medium,jpeg,375,500,0.75,0.1875,portrait,conditionally_edible,Fomes fomentarius,a5da3425ccb933c3,4,Fomes fomentarius,fomes_fomentarius,fomes_fomentarius,fomes_fomentarius,256,256
Classes/conditionally_edible/Hypogymnia physodes/28315medium.jpeg,3,28315medium,jpeg,374,500,0.748,0.187,portrait,conditionally_edible,Hypogymnia physodes,fc74a41a996d0e9c,4,Hypogymnia physodes,hypogymnia_physodes,hypogymnia_physodes,hypogymnia_physodes,256,256
Classes/conditionally_edible/Fomitopsis pinicola/21556medium.jpg,3,21556medium,jpg,500,375,1.3333333333333333,0.1875,landscape,conditionally_edible,Fomitopsis pinicola,e536484c97c364bd,4,Fomitopsis pinicola,fomitopsis_pinicola,fomitopsis_pinicola,fomitopsis_pinicola,256,256
Classes/conditionally_edible/Nectria cinnabarina/19059medium.jpg,3,19059medium,jpg,374,500,0.748,0.187,portrait,conditionally_edible,Nectria cinnabarina,9bb26619476c360f,4,Nectria cinnabarina,nectria_cinnabarina,nectria_cinnabarina,nectria_cinnabarina,256,256
Classes/conditionally_edible/Hygrophoropsis aurantiaca/12242medium.jpg,3,12242medium,jpg,375,500,0.75,0.1875,portrait,conditionally_edible,Hygrophoropsis aurantiaca,e0b75934371a9c6c,4,Hygrophoropsis aurantiaca,hygrophoropsis_aurantiaca,hygrophoropsis_aurantiaca,hygrophoropsis_aurantiaca,256,256
Classes/conditionally_edible/Laetiporus sulphureus/30255medium.jpeg,3,30255medium,jpeg,333,500,0.666,0.1665,portrait,conditionally_edible,Laetiporus sulphureus,cc5c3373d8a046be,4,Laetiporus sulphureus,other_rare_species,laetiporus_sulphureus,laetiporus_sulphureus,256,256
Classes/conditionally_edible/Fomitopsis pinicola/22623medium.jpeg,3,22623medium,jpeg,375,500,0.75,0.1875,portrait,conditionally_edible,Fomitopsis pinicola,ece8eae8f050e3c1,4,Fomitopsis pinicola,fomitopsis_pinicola,fomitopsis_pinicola,fomitopsis_pinicola,256,256
Classes/conditionally_edible/Fomitopsis pinicola/20340medium.jpg,3,20340medium,jpg,500,375,1.3333333333333333,0.1875,landscape,conditionally_edible,Fomitopsis pinicola,a3a9713f22c1ccc7,4,Fomitopsis pinicola,fomitopsis_pinicola,fomitopsis_pinicola,fomitopsis_pinicola,256,256
Classes/conditionally_edible/Trichaptum biforme/31078medium.jpeg,3,31078medium,jpeg,500,407,1.2285012285012284,0.2035,landscape,conditionally_edible,Trichaptum biforme,9586eab9b52e8c85,4,Trichaptum biforme,trichaptum_biforme,trichaptum_biforme,trichaptum_biforme,256,256
Classes/conditionally_edible/Amanita_muscaria/Amanita_muscaria49.png,3,Amanita_muscaria49,png,225,225,1.0,0.050625,square,conditionally_edible,Amanita_muscaria,aaf8b0daa8c135b5,4,Amanita_muscaria,amanita_muscaria,amanita_muscaria,amanita_muscaria,256,256
Classes/conditionally_edible/Fomes fomentarius/13134medium.jpg,3,13134medium,jpg,500,375,1.3333333333333333,0.1875,landscape,conditionally_edible,Fomes fomentarius,f939063f833160cf,4,Fomes fomentarius,fomes_fomentarius,fomes_fomentarius,fomes_fomentarius,256,256
Classes/conditionally_edible/Mushrooms/Amanita/285_2zaiJ1_oGf8.jpg,4,285_2zaiJ1_oGf8,jpg,775,721,1.0748959778085991,0.558775,landscape,conditionally_edible,Amanita,99a664f16799330d,5,Amanita,amanita,amanita,amanita,256,256
Classes/conditionally_edible/Peltigera aphthosa/20442medium.jpeg,3,20442medium,jpeg,500,333,1.5015015015015014,0.1665,landscape,conditionally_edible,Peltigera aphthosa,d377779222c01b2e,4,Peltigera aphthosa,peltigera_aphthosa,peltigera_aphthosa,peltigera_aphthosa,256,256
Classes/conditionally_edible/Sarcosoma globosum/26670medium.jpg,3,26670medium,jpg,375,500,0.75,0.1875,portrait,conditionally_edible,Sarcosoma globosum,a6d2972314dabae1,4,Sarcosoma globosum,sarcosoma_globosum,sarcosoma_globosum,sarcosoma_globosum,256,256
Classes/conditionally_edible/Fomitopsis pinicola/20514medium.jpeg,3,20514medium,jpeg,333,500,0.666,0.1665,portrait,conditionally_edible,Fomitopsis pinicola,d30ad4727b6b4629,4,Fomitopsis pinicola,fomitopsis_pinicola,fomitopsis_pinicola,fomitopsis_pinicola,256,256
Classes/conditionally_edible/Sarcoscypha austriaca/26593medium.jpeg,3,26593medium,jpeg,500,375,1.3333333333333333,0.1875,landscape,conditionally_edible,Sarcoscypha austriaca,b0c28cf9d1e56716,4,Sarcoscypha austriaca,sarcoscypha_austriaca,sarcoscypha_austriaca,sarcoscypha_austriaca,256,256
Classes/conditionally_edible/Inonotus obliquus/29220medium.jpg,3,29220medium,jpg,333,500,0.666,0.1665,portrait,conditionally_edible,Inonotus obliquus,c5eaccc87627cc8a,4,Inonotus obliquus,inonotus_obliquus,inonotus_obliquus,inonotus_obliquus,256,256
Classes/conditionally_edible/Fomitopsis pinicola/21986medium.jpeg,3,21986medium,jpeg,374,500,0.748,0.187,portrait,conditionally_edible,Fomitopsis pinicola,dc9673c98c338a4e,4,Fomitopsis pinicola,fomitopsis_pinicola,fomitopsis_pinicola,fomitopsis_pinicola,256,256
Classes/conditionally_edible/Cladonia fimbriata/5320medium.jpg,3,5320medium,jpg,500,298,1.6778523489932886,0.149,landscape,conditionally_edible,Cladonia fimbriata,dcec364a3d80b1d6,4,Cladonia fimbriata,cladonia_fimbriata,cladonia_fimbriata,cladonia_fimbriata,256,256
Classes/conditionally_edible/Lycoperdon perlatum/34105medium.jpeg,3,34105medium,jpeg,500,375,1.3333333333333333,0.1875,landscape,conditionally_edible,Lycoperdon perlatum,d1942ec9705b1b7a,4,Lycoperdon perlatum,lycoperdon_perlatum,lycoperdon_perlatum,lycoperdon_perlatum,256,256
Classes/conditionally_edible/Artomyces pyxidatus/5410medium.jpg,3,5410medium,jpg,375,500,0.75,0.1875,portrait,conditionally_edible,Artomyces pyxidatus,90eb6c4c97876a72,4,Artomyces pyxidatus,artomyces_pyxidatus,artomyces_pyxidatus,artomyces_pyxidatus,256,256
Classes/conditionally_edible/Hypogymnia physodes/27792medium.jpg,3,27792medium,jpg,375,500,0.75,0.1875,portrait,conditionally_edible,Hypogymnia physodes,d4ba6bca927ae242,4,Hypogymnia physodes,hypogymnia_physodes,hypogymnia_physodes,hypogymnia_physodes,256,256
Classes/conditionally_edible/Cetraria islandica/4115medium.jpeg,3,4115medium,jpeg,500,375,1.3333333333333333,0.1875,landscape,conditionally_edible,Cetraria islandica,af488334cbb587a3,4,Cetraria islandica,cetraria_islandica,cetraria_islandica,cetraria_islandica,256,256
Classes/conditionally_edible/Sarcoscypha austriaca/26460medium.jpeg,3,26460medium,jpeg,375,500,0.75,0.1875,portrait,conditionally_edible,Sarcoscypha austriaca,c13a4f711cd2721f,4,Sarcoscypha austriaca,sarcoscypha_austriaca,sarcoscypha_austriaca,sarcoscypha_austriaca,256,256
Classes/conditionally_edible/Trametes ochracea/29013medium.jpeg,3,29013medium,jpeg,500,375,1.3333333333333333,0.1875,landscape,conditionally_edible,Trametes ochracea,85f4785ab5d9a3a0,4,Trametes ochracea,trametes_ochracea,trametes_ochracea,trametes_ochracea,256,256
Classes/conditionally_edible/Mushrooms/Lactarius/0969_Ht7K9BA0y30.jpg,4,0969_Ht7K9BA0y30,jpg,800,534,1.4981273408239701,0.4272,landscape,conditionally_edible,Lactarius,874a6fb748308b1f,5,Lactarius,lactarius,lactarius,lactarius,256,256
Classes/conditionally_edible/Cladonia rangiferina/5440medium.jpg,3,5440medium,jpg,500,281,1.7793594306049823,0.1405,landscape,conditionally_edible,Cladonia rangiferina,c0c16f872d0639fe,4,Cladonia rangiferina,cladonia_rangiferina,cladonia_rangiferina,cladonia_rangiferina,256,256
Classes/conditionally_edible/Nectria cinnabarina/18921medium.jpeg,3,18921medium,jpeg,500,375,1.3333333333333333,0.1875,landscape,conditionally_edible,Nectria cinnabarina,a686d6d637b51581,4,Nectria cinnabarina,nectria_cinnabarina,nectria_cinnabarina,nectria_cinnabarina,256,256
Classes/conditionally_edible/Fomitopsis pinicola/23671medium.jpg,3,23671medium,jpg,500,231,2.1645021645021645,0.1155,landscape,conditionally_edible,Fomitopsis pinicola,ec3e33cd4c2c9692,4,Fomitopsis pinicola,fomitopsis_pinicola,fomitopsis_pinicola,fomitopsis_pinicola,256,256
Classes/conditionally_edible/stump_puffball/12.png,3,12,png,512,512,1.0,0.262144,square,conditionally_edible,stump_puffball,d98c369963359ad1,4,other_rare_species,other_rare_species,stump_puffball,other_rare_species,256,256
Classes/conditionally_edible/Suillus grevillei/28277medium.jpeg,3,28277medium,jpeg,375,500,0.75,0.1875,portrait,conditionally_edible,Suillus grevillei,9dd12b5ae594155a,4,Suillus grevillei,suillus_grevillei,suillus_grevillei,suillus_grevillei,256,256
Classes/conditionally_edible/Mushrooms/Russula/320_CLFYCUJ0mW0.jpg,4,320_CLFYCUJ0mW0,jpg,800,532,1.5037593984962405,0.4256,landscape,conditionally_edible,Russula,c2c19c9070d39f9f,5,Russula,russula,russula,russula,256,256
Classes/conditionally_edible/Laetiporus sulphureus/30695medium.jpeg,3,30695medium,jpeg,376,500,0.752,0.188,portrait,conditionally_edible,Laetiporus sulphureus,d4466b38e5ca96a5,4,Laetiporus sulphureus,other_rare_species,laetiporus_sulphureus,laetiporus_sulphureus,256,256
Classes/conditionally_edible/Mushrooms/Lactarius/1050_MA5NUdrTT7o.jpg,4,1050_MA5NUdrTT7o,jpg,500,375,1.3333333333333333,0.1875,landscape,conditionally_edible,Lactarius,d49664f085e743da,5,Lactarius,lactarius,lactarius,lactarius,256,256
Classes/conditionally_edible/Fomitopsis pinicola/18919medium.jpeg,3,18919medium,jpeg,500,375,1.3333333333333333,0.1875,landscape,conditionally_edible,Fomitopsis pinicola,a572f2a241cd853f,4,Fomitopsis pinicola,fomitopsis_pinicola,fomitopsis_pinicola,fomitopsis_pinicola,256,256
Classes/conditionally_edible/Clitocybe nebularis/6215medium.jpeg,3,6215medium,jpeg,375,500,0.75,0.1875,portrait,conditionally_edible,Clitocybe nebularis,d02d3f43f03c92e5,4,Clitocybe nebularis,other_rare_species,clitocybe_nebularis,clitocybe_nebularis,256,256
Classes/conditionally_edible/Suillus/040_9jrwFplYg7k.jpg,3,040_9jrwFplYg7k,jpg,800,597,1.340033500837521,0.4776,landscape,conditionally_edible,Suillus,d28cbcb3612e9369,4,Suillus,suillus,suillus,suillus,256,256
Classes/conditionally_edible/Mushrooms/Russula/713_4lft2TMSeZc.jpg,4,713_4lft2TMSeZc,jpg,800,533,1.5009380863039399,0.4264,landscape,conditionally_edible,Russula,c3f17c0f116c0cbd,5,Russula,russula,russula,russula,256,256
Classes/conditionally_edible/Leccinum scabrum/31988medium.jpg,3,31988medium,jpg,375,500,0.75,0.1875,portrait,conditionally_edible,Leccinum scabrum,e41f711fc8c11f43,4,Leccinum scabrum,other_rare_species,leccinum_scabrum,leccinum_scabrum,256,256
Classes/conditionally_edible/Fomitopsis pinicola/23419medium.jpeg,3,23419medium,jpeg,375,500,0.75,0.1875,portrait,conditionally_edible,Fomitopsis pinicola,cb71661f99e07611,4,Fomitopsis pinicola,fomitopsis_pinicola,fomitopsis_pinicola,fomitopsis_pinicola,256,256
Classes/conditionally_edible/Leccinum scabrum/32554medium.jpeg,3,32554medium,jpeg,374,500,0.748,0.187,portrait,conditionally_edible,Leccinum scabrum,9ccde3710c67ba88,4,Leccinum scabrum,other_rare_species,leccinum_scabrum,leccinum_scabrum,256,256
Classes/conditionally_edible/Cantharellus cibarius/3903medium.jpg,3,3903medium,jpg,375,500,0.75,0.1875,portrait,conditionally_edible,Cantharellus cibarius,ec27e88dbca30c71,4,Cantharellus cibarius,other_rare_species,cantharellus_cibarius,cantharellus_cibarius,256,256
Classes/conditionally_edible/Cantharellus cibarius/3541medium.jpeg,3,3541medium,jpeg,500,375,1.3333333333333333,0.1875,landscape,conditionally_edible,Cantharellus cibarius,b8b4c789736260cf,4,Cantharellus cibarius,other_rare_species,cantharellus_cibarius,cantharellus_cibarius,256,256
Classes/conditionally_edible/Leccinum versipelle/16355medium.jpeg,3,16355medium,jpeg,500,375,1.3333333333333333,0.1875,landscape,conditionally_edible,Leccinum versipelle,c65470b6fd883729,4,Leccinum versipelle,other_rare_species,leccinum_versipelle,leccinum_versipelle,256,256
Classes/conditionally_edible/Cantharellus cibarius/3824medium.jpg,3,3824medium,jpg,500,332,1.5060240963855422,0.166,landscape,conditionally_edible,Cantharellus cibarius,cc3a3c61d3ce2c3c,4,Cantharellus cibarius,other_rare_species,cantharellus_cibarius,cantharellus_cibarius,256,256
Classes/conditionally_edible/Fomes fomentarius/14933medium.jpg,3,14933medium,jpg,375,500,0.75,0.1875,portrait,conditionally_edible,Fomes fomentarius,f1f3e32f035ce0c0,4,Fomes fomentarius,fomes_fomentarius,fomes_fomentarius,fomes_fomentarius,256,256
Classes/conditionally_edible/Fomitopsis pinicola/19387medium.jpeg,3,19387medium,jpeg,281,500,0.562,0.1405,portrait,conditionally_edible,Fomitopsis pinicola,929530336e5ed2e5,4,Fomitopsis pinicola,fomitopsis_pinicola,fomitopsis_pinicola,fomitopsis_pinicola,256,256
Classes/conditionally_edible/sepia_bolete/14.png,3,14,png,512,512,1.0,0.262144,square,conditionally_edible,sepia_bolete,91144becb33946f5,4,other_rare_species,other_rare_species,sepia_bolete,other_rare_species,256,256
Classes/conditionally_edible/Laetiporus sulphureus/31276medium.jpeg,3,31276medium,jpeg,500,376,1.3297872340425532,0.188,landscape,conditionally_edible,Laetiporus sulphureus,9ed16a2e6124d62f,4,Laetiporus sulphureus,other_rare_species,laetiporus_sulphureus,laetiporus_sulphureus,256,256
Classes/conditionally_edible/Boletus edulis/6612medium.jpeg,3,6612medium,jpeg,500,375,1.3333333333333333,0.1875,landscape,conditionally_edible,Boletus edulis,8b9e6620986e7379,4,Boletus edulis,boletus_edulis,boletus_edulis,boletus_edulis,256,256
Classes/conditionally_edible/Fomitopsis pinicola/23557medium.jpeg,3,23557medium,jpeg,375,500,0.75,0.1875,portrait,conditionally_edible,Fomitopsis pinicola,f1e3c71be48c28e4,4,Fomitopsis pinicola,fomitopsis_pinicola,fomitopsis_pinicola,fomitopsis_pinicola,256,256
Classes/conditionally_edible/Rhytisma acerinum/25332medium.jpg,3,25332medium,jpg,375,500,0.75,0.1875,portrait,conditionally_edible,Rhytisma acerinum,c1cd3da93e8d3219,4,Rhytisma acerinum,rhytisma_acerinum,rhytisma_acerinum,rhytisma_acerinum,256,256
Classes/conditionally_edible/Clitocybe nebularis/6219medium.jpeg,3,6219medium,jpeg,500,333,1.5015015015015014,0.1665,landscape,conditionally_edible,Clitocybe nebularis,98f2670d3bd1c163,4,Clitocybe nebularis,other_rare_species,clitocybe_nebularis,clitocybe_nebularis,256,256
Classes/conditionally_edible/spring_fieldcap/0.png,3,0,png,512,512,1.0,0.262144,square,conditionally_edible,spring_fieldcap,c9e23c2ecd90b366,4,other_rare_species,other_rare_species,spring_fieldcap,other_rare_species,256,256
Classes/conditionally_edible/Fomitopsis betulina/18513medium.jpeg,3,18513medium,jpeg,500,333,1.5015015015015014,0.1665,landscape,conditionally_edible,Fomitopsis betulina,8dc52f34c3322b4f,4,Fomitopsis betulina,fomitopsis_betulina,fomitopsis_betulina,fomitopsis_betulina,256,256
Classes/conditionally_edible/Nectria cinnabarina/18957medium.jpeg,3,18957medium,jpeg,333,500,0.666,0.1665,portrait,conditionally_edible,Nectria cinnabarina,c8c84696e625b7f2,4,Nectria cinnabarina,nectria_cinnabarina,nectria_cinnabarina,nectria_cinnabarina,256,256
Classes/conditionally_edible/Vulpicida pinastri/32830medium.jpeg,3,32830medium,jpeg,500,333,1.5015015015015014,0.1665,landscape,conditionally_edible,Vulpicida pinastri,b7a68dc7349709a4,4,Vulpicida pinastri,vulpicida_pinastri,vulpicida_pinastri,vulpicida_pinastri,256,256
Classes/conditionally_edible/Leccinum scabrum/31884medium.jpeg,3,31884medium,jpeg,333,500,0.666,0.1665,portrait,conditionally_edible,Leccinum scabrum,fb65649bd926409a,4,Leccinum scabrum,other_rare_species,leccinum_scabrum,leccinum_scabrum,256,256
Classes/conditionally_edible/Mushrooms/Russula/508_dUJXbZJPORQ.jpg,4,508_dUJXbZJPORQ,jpg,1200,900,1.3333333333333333,1.08,landscape,conditionally_edible,Russula,fdca0ab5626183da,5,Russula,russula,russula,russula,256,256
Classes/conditionally_edible/Fomitopsis betulina/17956medium.jpeg,3,17956medium,jpeg,500,375,1.3333333333333333,0.1875,landscape,conditionally_edible,Fomitopsis betulina,aa035fd838bd22bc,4,Fomitopsis betulina,fomitopsis_betulina,fomitopsis_betulina,fomitopsis_betulina,256,256
Classes/conditionally_edible/Fomitopsis pinicola/20563medium.jpeg,3,20563medium,jpeg,500,375,1.3333333333333333,0.1875,landscape,conditionally_edible,Fomitopsis pinicola,ca0ab3d365c13e5a,4,Fomitopsis pinicola,fomitopsis_pinicola,fomitopsis_pinicola,fomitopsis_pinicola,256,256
Classes/conditionally_edible/Laetiporus sulphureus/31221medium.jpeg,3,31221medium,jpeg,500,448,1.1160714285714286,0.224,landscape,conditionally_edible,Laetiporus sulphureus,dc7a326530338767,4,Laetiporus sulphureus,other_rare_species,laetiporus_sulphureus,laetiporus_sulphureus,256,256
Classes/conditionally_edible/Hypogymnia physodes/27779medium.jpeg,3,27779medium,jpeg,467,500,0.934,0.2335,portrait,conditionally_edible,Hypogymnia physodes,93d3b6173f371022,4,Hypogymnia physodes,hypogymnia_physodes,hypogymnia_physodes,hypogymnia_physodes,256,256
Classes/conditionally_edible/Parmelia sulcata/36321medium.jpg,3,36321medium,jpg,500,500,1.0,0.25,square,conditionally_edible,Parmelia sulcata,8293dc4c4e4fe4f1,4,Parmelia sulcata,parmelia_sulcata,parmelia_sulcata,parmelia_sulcata,256,256
Classes/conditionally_edible/Fomes fomentarius/14734medium.jpeg,3,14734medium,jpeg,500,375,1.3333333333333333,0.1875,landscape,conditionally_edible,Fomes fomentarius,b6a252529859b577,4,Fomes fomentarius,fomes_fomentarius,fomes_fomentarius,fomes_fomentarius,256,256
Classes/conditionally_edible/Fomitopsis betulina/17697medium.jpeg,3,17697medium,jpeg,500,333,1.5015015015015014,0.1665,landscape,conditionally_edible,Fomitopsis betulina,99996de6960a8b39,4,Fomitopsis betulina,fomitopsis_betulina,fomitopsis_betulina,fomitopsis_betulina,256,256
Classes/conditionally_edible/Mushrooms/Russula/687_krOpjkWe4_E.jpg,4,687_krOpjkWe4_E,jpg,800,516,1.550387596899225,0.4128,landscape,conditionally_edible,Russula,c11e26e159b336d3,5,Russula,russula,russula,russula,256,256
Classes/conditionally_edible/Stereum hirsutum/26958medium.jpeg,3,26958medium,jpeg,333,500,0.666,0.1665,portrait,conditionally_edible,Stereum hirsutum,d92e243917731e4e,4,Stereum hirsutum,stereum_hirsutum,stereum_hirsutum,stereum_hirsutum,256,256
Classes/conditionally_edible/ascot_hat/3.png,3,3,png,512,512,1.0,0.262144,square,conditionally_edible,ascot_hat,b8bd925022733f3c,4,other_rare_species,other_rare_species,ascot_hat,other_rare_species,256,256
Classes/conditionally_edible/Boletus reticulatus/1925medium.jpg,3,1925medium,jpg,375,500,0.75,0.1875,portrait,conditionally_edible,Boletus reticulatus,bf40e6220fd90aee,4,Boletus reticulatus,boletus_reticulatus,boletus_reticulatus,boletus_reticulatus,256,256
Classes/conditionally_edible/Fomes fomentarius/12961medium.jpg,3,12961medium,jpg,500,333,1.5015015015015014,0.1665,landscape,conditionally_edible,Fomes fomentarius,cef8222f9ace2c89,4,Fomes fomentarius,fomes_fomentarius,fomes_fomentarius,fomes_fomentarius,256,256
Classes/conditionally_edible/Verpa bohemica/32279medium.jpg,3,32279medium,jpg,500,400,1.25,0.2,landscape,conditionally_edible,Verpa bohemica,92a7c98d6576225d,4,Verpa bohemica,other_rare_species,verpa_bohemica,verpa_bohemica,256,256
Classes/conditionally_edible/Hypogymnia physodes/26307medium.jpeg,3,26307medium,jpeg,375,500,0.75,0.1875,portrait,conditionally_edible,Hypogymnia physodes,c293824b3e35bdb4,4,Hypogymnia physodes,hypogymnia_physodes,hypogymnia_physodes,hypogymnia_physodes,256,256
Classes/conditionally_edible/Fomitopsis betulina/18389medium.jpeg,3,18389medium,jpeg,500,333,1.5015015015015014,0.1665,landscape,conditionally_edible,Fomitopsis betulina,c9235714c78872ef,4,Fomitopsis betulina,fomitopsis_betulina,fomitopsis_betulina,fomitopsis_betulina,256,256
Classes/conditionally_edible/Cetraria islandica/4183medium.jpg,3,4183medium,jpg,500,375,1.3333333333333333,0.1875,landscape,conditionally_edible,Cetraria islandica,c51b7e36a557418a,4,Cetraria islandica,cetraria_islandica,cetraria_islandica,cetraria_islandica,256,256
Classes/conditionally_edible/Ganoderma applanatum/24808medium.jpeg,3,24808medium,jpeg,500,251,1.9920318725099602,0.1255,landscape,conditionally_edible,Ganoderma applanatum,92fd6e6ec7cc0242,4,Ganoderma applanatum,ganoderma_applanatum,ganoderma_applanatum,ganoderma_applanatum,256,256
Classes/conditionally_edible/Cortinarius/321_EgWJ7bpjCxM.jpg,3,321_EgWJ7bpjCxM,jpg,800,533,1.5009380863039399,0.4264,landscape,conditionally_edible,Cortinarius,97eb35996ab54841,4,Cortinarius,cortinarius,cortinarius,cortinarius,256,256
Classes/conditionally_edible/Leccinum aurantiacum/15521medium.jpeg,3,15521medium,jpeg,500,332,1.5060240963855422,0.166,landscape,conditionally_edible,Leccinum aurantiacum,99c7263b8dc83758,4,Leccinum aurantiacum,other_rare_species,leccinum_aurantiacum,leccinum_aurantiacum,256,256
Classes/conditionally_edible/Stereum hirsutum/27001medium.jpg,3,27001medium,jpg,500,333,1.5015015015015014,0.1665,landscape,conditionally_edible,Stereum hirsutum,d8c361a6333b1d39,4,Stereum hirsutum,stereum_hirsutum,stereum_hirsutum,stereum_hirsutum,256,256
